"Item Id","Item URI","Dublin Core:Alternative Title","Dublin Core:Abstract","Dublin Core:Table Of Contents","Dublin Core:Date Available","Dublin Core:Date Created","Dublin Core:Date Accepted","Dublin Core:Date Copyrighted","Dublin Core:Date Submitted","Dublin Core:Date Issued","Dublin Core:Date Modified","Dublin Core:Date Valid","Dublin Core:Access Rights","Dublin Core:License","Dublin Core:Conforms To","Dublin Core:Has Format","Dublin Core:Has Part","Dublin Core:Has Version","Dublin Core:Is Format Of","Dublin Core:Is Part Of","Dublin Core:Is Referenced By","Dublin Core:Is Replaced By","Dublin Core:Is Required By","Dublin Core:Is Version Of","Dublin Core:References","Dublin Core:Replaces","Dublin Core:Requires","Dublin Core:Extent","Dublin Core:Medium","Dublin Core:Bibliographic Citation","Dublin Core:Spatial Coverage","Dublin Core:Temporal Coverage","Dublin Core:Accrual Method","Dublin Core:Accrual Periodicity","Dublin Core:Accrual Policy","Dublin Core:Audience","Dublin Core:Audience Education Level","Dublin Core:Mediator","Dublin Core:Instructional Method","Dublin Core:Provenance","Dublin Core:Rights Holder","Dublin Core:Title","Dublin Core:Subject","Dublin Core:Description","Dublin Core:Creator","Dublin Core:Source","Dublin Core:Publisher","Dublin Core:Date","Dublin Core:Contributor","Dublin Core:Rights","Dublin Core:Relation","Dublin Core:Format","Dublin Core:Language","Dublin Core:Type","Dublin Core:Identifier","Dublin Core:Coverage","Item Type Metadata:Text","Item Type Metadata:Interviewer","Item Type Metadata:Interviewee","Item Type Metadata:Location","Item Type Metadata:Transcription","Item Type Metadata:Local URL","Item Type Metadata:Original Format","Item Type Metadata:Physical Dimensions","Item Type Metadata:Duration","Item Type Metadata:Compression","Item Type Metadata:Producer","Item Type Metadata:Director","Item Type Metadata:Bit Rate/Frequency","Item Type Metadata:Time Summary","Item Type Metadata:Email Body","Item Type Metadata:Subject Line","Item Type Metadata:From","Item Type Metadata:To","Item Type Metadata:CC","Item Type Metadata:BCC","Item Type Metadata:Number of Attachments","Item Type Metadata:Standards","Item Type Metadata:Objectives","Item Type Metadata:Materials","Item Type Metadata:Lesson Plan Text","Item Type Metadata:URL","Item Type Metadata:Event Type","Item Type Metadata:Participants","Item Type Metadata:Birth Date","Item Type Metadata:Birthplace","Item Type Metadata:Death Date","Item Type Metadata:Occupation","Item Type Metadata:Biographical Text","Item Type Metadata:Bibliography",tags,file,itemType,collection,public,featured
9077,https://alabamaauthors.org/items/show/9077,,,,,,1894,,1894-1971,,,1971,,,"Emma Gelders Sterne",,,,,,,,,,,,,,,"<em> African Adventure. </em> New York; Golden Press, 1965.",,,,,,,,,,,,"African Adventure by Emma Gelders Sterne",,"Emma Gelders Sterne, an influential author and advocate, emerged as a notable figure with a rich literary repertoire and deep commitment to social causes. From her early days as an editor for student literary magazines, to her activism for women's suffrage and establishment of a school for delinquent children, Sterne's life exemplified a fusion of literature and social change. With a diverse body of work spanning children's literature, historical novels, and biographies, Sterne's contributions have been recognized for their impact on both the literary landscape and her engagement with civil rights and peace movements. Her papers are currently housed at the Special Collections Department of the University of Oregon Library, preserving her legacy for academic exploration and study.","Sterne, Emma Gelders",,"<em>Alabama Authors of the 19th &amp; 20th Centuries</em>, edited by Beverley Park Rilett, http://AlabamaAuthors.org",1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://alabamaauthors.org/files/original/03259134d7e25362ade3394e5b043f72.jpg,,"AL Book Collection",1,0
9076,https://alabamaauthors.org/items/show/9076,,,,,,1894,,1894-1971,,,1971,,,"Emma Gelders Sterne",,,,,,,,,,,,,,,"<em> Peace Corps Nurse. </em> New York; Golden Press, 1965.",,,,,,,,,,,,"Peace Corps Nurse by Emma Gelders Sterne",,"Emma Gelders Sterne, an influential author and advocate, emerged as a notable figure with a rich literary repertoire and deep commitment to social causes. From her early days as an editor for student literary magazines, to her activism for women's suffrage and establishment of a school for delinquent children, Sterne's life exemplified a fusion of literature and social change. With a diverse body of work spanning children's literature, historical novels, and biographies, Sterne's contributions have been recognized for their impact on both the literary landscape and her engagement with civil rights and peace movements. Her papers are currently housed at the Special Collections Department of the University of Oregon Library, preserving her legacy for academic exploration and study.","Sterne, Emma Gelders",,"<em>Alabama Authors of the 19th &amp; 20th Centuries</em>, edited by Beverley Park Rilett, http://AlabamaAuthors.org",1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://alabamaauthors.org/files/original/5b2a5093c65875107b151659d06814c0.jpg,,"AL Book Collection",1,0
9075,https://alabamaauthors.org/items/show/9075,,,,,,1894,,1894-1971,,,1971,,,"Emma Gelders Sterne",,,,,,,,,,,,,,,"<em> An Affair of the Heart. </em> New York; Golden Press, 1965.",,,,,,,,,,,,"An Affair of the Heart by Emma Gelders Sterne",,"Emma Gelders Sterne, an influential author and advocate, emerged as a notable figure with a rich literary repertoire and deep commitment to social causes. From her early days as an editor for student literary magazines, to her activism for women's suffrage and establishment of a school for delinquent children, Sterne's life exemplified a fusion of literature and social change. With a diverse body of work spanning children's literature, historical novels, and biographies, Sterne's contributions have been recognized for their impact on both the literary landscape and her engagement with civil rights and peace movements. Her papers are currently housed at the Special Collections Department of the University of Oregon Library, preserving her legacy for academic exploration and study.","Sterne, Emma Gelders",,"<em>Alabama Authors of the 19th &amp; 20th Centuries</em>, edited by Beverley Park Rilett, http://AlabamaAuthors.org",1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://alabamaauthors.org/files/original/197ce4be4276e98b50806f5ce6f74f9b.jpg,,"AL Book Collection",1,0
9074,https://alabamaauthors.org/items/show/9074,,,,,,1894,,1894-1971,,,1971,,,"Emma Gelders Sterne",,,,,,,,,,,,,,,"<em> Off-Duty Nurse </em> New York; Golden Press, 1964.",,,,,,,,,,,,"Off-Duty Nurse by Emma Gelders Sterne",,"Emma Gelders Sterne, an influential author and advocate, emerged as a notable figure with a rich literary repertoire and deep commitment to social causes. From her early days as an editor for student literary magazines, to her activism for women's suffrage and establishment of a school for delinquent children, Sterne's life exemplified a fusion of literature and social change. With a diverse body of work spanning children's literature, historical novels, and biographies, Sterne's contributions have been recognized for their impact on both the literary landscape and her engagement with civil rights and peace movements. Her papers are currently housed at the Special Collections Department of the University of Oregon Library, preserving her legacy for academic exploration and study.","Sterne, Emma Gelders",,"<em>Alabama Authors of the 19th &amp; 20th Centuries</em>, edited by Beverley Park Rilett, http://AlabamaAuthors.org",1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://alabamaauthors.org/files/original/2f7fdb15a4051ffbae6f629f6782b90b.jpg,,"AL Book Collection",1,0
9073,https://alabamaauthors.org/items/show/9073,,,,,,1894,,1894-1971,,,1971,,,"Emma Gelders Sterne",,,,,,,,,,,,,,,"<em> Courage in Crisis. </em> New York; Golden Press, 1964.",,,,,,,,,,,,"Courage in Crisis by Emma Gelders Sterne",,"Emma Gelders Sterne, an influential author and advocate, emerged as a notable figure with a rich literary repertoire and deep commitment to social causes. From her early days as an editor for student literary magazines, to her activism for women's suffrage and establishment of a school for delinquent children, Sterne's life exemplified a fusion of literature and social change. With a diverse body of work spanning children's literature, historical novels, and biographies, Sterne's contributions have been recognized for their impact on both the literary landscape and her engagement with civil rights and peace movements. Her papers are currently housed at the Special Collections Department of the University of Oregon Library, preserving her legacy for academic exploration and study.","Sterne, Emma Gelders",,"<em>Alabama Authors of the 19th &amp; 20th Centuries</em>, edited by Beverley Park Rilett, http://AlabamaAuthors.org",1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://alabamaauthors.org/files/original/6d40cebaf55733b83beebaba4d1f8266.jpg,,"AL Book Collection",1,0
9072,https://alabamaauthors.org/items/show/9072,,,,,,1894,,1894-1971,,,1971,,,"Emma Gelders Sterne",,,,,,,,,,,,,,,"<em> Sierra Adventure. </em> New York; Golden Press, 1964.",,,,,,,,,,,,"Sierra Adventure by Emma Gelders Sterne",,"Emma Gelders Sterne, an influential author and advocate, emerged as a notable figure with a rich literary repertoire and deep commitment to social causes. From her early days as an editor for student literary magazines, to her activism for women's suffrage and establishment of a school for delinquent children, Sterne's life exemplified a fusion of literature and social change. With a diverse body of work spanning children's literature, historical novels, and biographies, Sterne's contributions have been recognized for their impact on both the literary landscape and her engagement with civil rights and peace movements. Her papers are currently housed at the Special Collections Department of the University of Oregon Library, preserving her legacy for academic exploration and study.","Sterne, Emma Gelders",,"<em>Alabama Authors of the 19th &amp; 20th Centuries</em>, edited by Beverley Park Rilett, http://AlabamaAuthors.org",1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://alabamaauthors.org/files/original/5c8019c5550285f30a68f52cf4dd5982.jpg,,"AL Book Collection",1,0
9071,https://alabamaauthors.org/items/show/9071,,,,,,1894,,1894-1971,,,1971,,,"Emma Gelders Sterne",,,,,,,,,,,,,,,"<em> Search for an Island. </em> New York; Golden Press, 1963.",,,,,,,,,,,,"Search for an Island by Emma Gelders Sterne",,"Emma Gelders Sterne, an influential author and advocate, emerged as a notable figure with a rich literary repertoire and deep commitment to social causes. From her early days as an editor for student literary magazines, to her activism for women's suffrage and establishment of a school for delinquent children, Sterne's life exemplified a fusion of literature and social change. With a diverse body of work spanning children's literature, historical novels, and biographies, Sterne's contributions have been recognized for their impact on both the literary landscape and her engagement with civil rights and peace movements. Her papers are currently housed at the Special Collections Department of the University of Oregon Library, preserving her legacy for academic exploration and study.","Sterne, Emma Gelders",,"<em>Alabama Authors of the 19th &amp; 20th Centuries</em>, edited by Beverley Park Rilett, http://AlabamaAuthors.org",1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://alabamaauthors.org/files/original/a10afe1c418bbaf4a4eefb64d1961e68.jpg,,"AL Book Collection",1,0
9070,https://alabamaauthors.org/items/show/9070,,,,,,1894,,1894-1971,,,1971,,,"Emma Gelders Sterne",,,,,,,,,,,,,,,"<em> Private Nurse. </em> New York; Golden Press, 1962.",,,,,,,,,,,,"Private Nurse by Emma Gelders Sterne",,"Emma Gelders Sterne, an influential author and advocate, emerged as a notable figure with a rich literary repertoire and deep commitment to social causes. From her early days as an editor for student literary magazines, to her activism for women's suffrage and establishment of a school for delinquent children, Sterne's life exemplified a fusion of literature and social change. With a diverse body of work spanning children's literature, historical novels, and biographies, Sterne's contributions have been recognized for their impact on both the literary landscape and her engagement with civil rights and peace movements. Her papers are currently housed at the Special Collections Department of the University of Oregon Library, preserving her legacy for academic exploration and study.","Sterne, Emma Gelders",,"<em>Alabama Authors of the 19th &amp; 20th Centuries</em>, edited by Beverley Park Rilett, http://AlabamaAuthors.org",1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://alabamaauthors.org/files/original/5defd95e5ef62177e9f1c599a55eb300.jpg,,"AL Book Collection",1,0
9069,https://alabamaauthors.org/items/show/9069,,,,1894,,1894-1971,,,,,1971,,,"Emma Gelders Sterne",,,,,,,,,,,,,,,"<em> Assignment in Alaska. </em> New York; Golden Press, 1961.",,,,,,,,,,,,"Assignment in Alaska by Emma Gelders Sterne",,"Emma Gelders Sterne, an influential author and advocate, emerged as a notable figure with a rich literary repertoire and deep commitment to social causes. From her early days as an editor for student literary magazines, to her activism for women's suffrage and establishment of a school for delinquent children, Sterne's life exemplified a fusion of literature and social change. With a diverse body of work spanning children's literature, historical novels, and biographies, Sterne's contributions have been recognized for their impact on both the literary landscape and her engagement with civil rights and peace movements. Her papers are currently housed at the Special Collections Department of the University of Oregon Library, preserving her legacy for academic exploration and study.","Sterne, Emma Gelders",,"<em>Alabama Authors of the 19th &amp; 20th Centuries</em>, edited by Beverley Park Rilett, http://AlabamaAuthors.org",1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://alabamaauthors.org/files/original/cb0d0af18b781f6936a9b51619a5d340.jpg,,"AL Book Collection",1,0
9068,https://alabamaauthors.org/items/show/9068,,,,,,1894,,1894-1971,,,1971,,,"Emma Gelders Sterne",,,,,,,,,,,,,,,"<em> The Patient in 202. </em> New York; Golden Press, 1961.",,,,,,,,,,,,"The Patient in 202 by Emma Gelders Sterne",,"Emma Gelders Sterne, an influential author and advocate, emerged as a notable figure with a rich literary repertoire and deep commitment to social causes. From her early days as an editor for student literary magazines, to her activism for women's suffrage and establishment of a school for delinquent children, Sterne's life exemplified a fusion of literature and social change. With a diverse body of work spanning children's literature, historical novels, and biographies, Sterne's contributions have been recognized for their impact on both the literary landscape and her engagement with civil rights and peace movements. Her papers are currently housed at the Special Collections Department of the University of Oregon Library, preserving her legacy for academic exploration and study.","Sterne, Emma Gelders",,"<em>Alabama Authors of the 19th &amp; 20th Centuries</em>, edited by Beverley Park Rilett, http://AlabamaAuthors.org",1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://alabamaauthors.org/files/original/8a3fd24521cb1cc0a27f6c3d16b6d781.jpg,,"AL Book Collection",1,0
